00LU               20121204                                                                                   
0601LUA0d       20130101002085100000005000 0000041060001967   
0601LUA0d       20130101002090100000005000 0000041230001970   
0601LUA0d       20130101002095100000005000 0000041360001972   
0601LUA0d       20130101002100100000005000 0000041500001974   
0601LUA0d       20130101002105100000005000 0000041660001977   
0601LUA0d       20130101002110100000005000 0000041800001979   
0601LUA0d       20130101002115100000005000 0000041940001981   
0601LUA0d       20130101002120100000005000 0000042100001984   
0601LUA0d       20130101002125100000005000 0000042240001985   
0601LUA0d       20130101002130100000005000 0000042370001987   
0601LUA0d       20130101002135100000005000 0000042540001990   
0601LUA0d       20130101002140100000005000 0000042670001992   
0601LUA0d       20130101002145100000005000 0000042810001993   
0601LUA0d       20130101002150100000005000 0000042970001996   
0601LUA0d       20130101002155100000005000 0000043110001998   
0601LUA0d       20130101002160100000005000 0000043250002000   
0601LUA0d       20130101002165100000005000 0000043410002003   
0601LUA0d       20130101002170100000005000 0000043550002005   
0601LUA0d       20130101002175100000005000 0000043680002006   
0601LUA0d       20130101002180100000005000 0000043850002009   
0601LUA0d       20130101002185100000005000 0000043990002011   
0601LUA0d       20130101002190100000005000 0000044120002012   
0601LUA0d       20130101002195100000005000 0000044290002015   
0601LUA0d       20130101002200100000005000 0000044420002017   
0601LUA0d       20130101002205100000005000 0000044560002019   
0601LUA0d       20130101002210100000005000 0000044720002021   
0601LUA0d       20130101002215100000005000 0000044860002023   
0601LUA0d       20130101002220100000005000 0000045000002025   
0601LUA0d       20130101002225100000005000 0000045160002027   
0601LUA0d       20130101002230100000005000 0000045300002029   
0601LUA0d       20130101002235100000005000 0000045430002030   
0601LUA0d       20130101002240100000005000 0000045600002033   
0601LUA0d       20130101002245100000005000 0000045730002035   
0601LUA0d       20130101002250100000005000 0000045870002036   
0601LUA0d       20130101002255100000005000 0000046030002039   
0601LUA0d       20130101002260100000005000 0000046170002041   
0601LUA0d       20130101002265100000005000 0000046310002042   
0601LUA0d       20130101002270100000005000 0000046470002045   
0601LUA0d       20130101002275100000005000 0000046610002047   
0601LUA0d       20130101002280100000005000 0000046740002048   
0601LUA0d       20130101002285100000005000 0000046910002051   
0601LUA0d       20130101002290100000005000 0000047040002052   
0601LUA0d       20130101002295100000005000 0000047180002054   
0601LUA0d       20130101002300100000005000 0000047340002056   
0601LUA0d       20130101002305100000005000 0000047480002058   
0601LUA0d       20130101002310100000005000 0000047620002059   
0601LUA0d       20130101002315100000005000 0000047780002062   
0601LUA0d       20130101002320100000005000 0000047920002063   
0601LUA0d       20130101002325100000005000 0000048050002064   
0601LUA0d       20130101002330100000005000 0000048220002067   
0601LUA0d       20130101002335100000005000 0000048350002068   
0601LUA0d       20130101002340100000005000 0000048490002070   
0601LUA0d       20130101002345100000005000 0000048660002073   
0601LUA0d       20130101002350100000005000 0000048790002074   
0601LUA0d       20130101002355100000005000 0000048930002076   
0601LUA0d       20130101002360100000005000 0000049090002078   
0601LUA0d       20130101002365100000005000 0000049230002079   
0601LUA0d       20130101002370100000005000 0000049370002081   
0601LUA0d       20130101002375100000005000 0000049530002083   
0601LUA0d       20130101002380100000005000 0000049670002085   
0601LUA0d       20130101002385100000005000 0000049800002086   
0601LUA0d       20130101002390100000005000 0000049970002089   
0601LUA0d       20130101002395100000005000 0000050100002090   
0601LUA0d       20130101002400100000005000 0000050240002091   
0601LUA0d       20130101002405100000005000 0000050400002093   
0601LUA0d       20130101002410100000005000 0000050540002095   
0601LUA0d       20130101002415100000005000 0000050680002096   
0601LUA0d       20130101002420100000005000 0000050840002099   
0601LUA0d       20130101002425100000005000 0000050980002100   
0601LUA0d       20130101002430100000005000 0000051110002101   
0601LUA0d       20130101002435100000005000 0000051280002104   
0601LUA0d       20130101002440100000005000 0000051410002105   
0601LUA0d       20130101002445100000005000 0000051550002106   
0601LUA0d       20130101002450100000005000 0000051710002108   
0601LUA0d       20130101002455100000005000 0000051850002110   
0601LUA0d       20130101002460100000005000 0000051990002111   
0601LUA0d       20130101002465100000005000 0000052150002113   
0601LUA0d       20130101002470100000005000 0000052290002115   
0601LUA0d       20130101002475100000005000 0000052420002116   
0601LUA0d       20130101002480100000005000 0000052590002118   
0601LUA0d       20130101002485100000005000 0000052720002119   
0601LUA0d       20130101002490100000005000 0000052860002121   
0601LUA0d       20130101002495100000005000 0000053020002123   
0601LUA0d       20130101002500100000005000 0000053160002124   
0601LUA0d       20130101002505100000005000 0000053300002126   
0601LUA0d       20130101002510100000005000 0000053430002127   
0601LUA0d       20130101002515100000005000 0000053600002129   
0601LUA0d       20130101002520100000005000 0000053730002130   
0601LUA0d       20130101002525100000005000 0000053870002131   
0601LUA0d       20130101002530100000005000 0000054040002134   
0601LUA0d       20130101002535100000005000 0000054170002135   
0601LUA0d       20130101002540100000005000 0000054310002136   
0601LUA0d       20130101002545100000005000 0000054470002138   
0601LUA0d       20130101002550100000005000 0000054610002139   
0601LUA0d       20130101002555100000005000 0000054750002141   
0601LUA0d       20130101002560100000005000 0000054910002143   
0601LUA0d       20130101002565100000005000 0000055050002144   
0601LUA0d       20130101002570100000005000 0000055180002145   
0601LUA0d       20130101002575100000005000 0000055350002147   
0601LUA0d       20130101002580100000005000 0000055480002148   
0601LUA0d       20130101002585100000005000 0000055620002150   
0601LUA0d       20130101002590100000005000 0000055780002152   
0601LUA0d       20130101002595100000005000 0000055920002153   
0601LUA0d       20130101002600100000005000 0000056060002154   
0601LUA0d       20130101002605100000005000 0000056220002156   
0601LUA0d       20130101002610100000005000 0000056360002157   
0601LUA0d       20130101002615100000005000 0000056490002158   
0601LUA0d       20130101002620100000005000 0000056660002161   
0601LUA0d       20130101002625100000005000 0000056790002161   
0601LUA0d       20130101002630100000005000 0000056930002163   
0601LUA0d       20130101002635100000005000 0000057090002165   
0601LUA0d       20130101002640100000005000 0000057230002166   
0601LUA0d       20130101002645100000005000 0000057390002168   
0601LUA0d       20130101002650100000005000 0000057530002169   
0601LUA0d       20130101002655100000005000 0000057670002170   
0601LUA0d       20130101002660100000005000 0000057830002172   
0601LUA0d       20130101002665100000005000 0000057970002173   
0601LUA0d       20130101002670100000005000 0000058100002174   
0601LUA0d       20130101002675100000005000 0000058270002176   
0601LUA0d       20130101002680100000005000 0000058400002177   
0601LUA0d       20130101002685100000005000 0000058540002178   
0601LUA0d       20130101002690100000005000 0000058700002180   
0601LUA0d       20130101002695100000005000 0000058840002181   
